matchup_type,game_num,num_moves,total_time_sec
Baseline-Baseline,27,32,0.009037707997777034
Baseline-Baseline,28,25,0.006460207994678058
Baseline-Baseline,29,27,0.012205166000057943
Baseline-Baseline,30,21,0.007153292004659306
Baseline-Baseline,31,28,0.011269333001109771
Baseline-Baseline,32,32,0.007525000000896398
Baseline-Baseline,33,25,0.0074826249983743764
Baseline-Baseline,34,26,0.011051958004827611
Baseline-Baseline,35,33,0.008663874999911059
Baseline-Baseline,36,26,0.007975332999194507
Baseline-Baseline,37,22,0.0078985840009409
Baseline-Baseline,38,30,0.009600167002645321
Baseline-Baseline,39,33,0.00915250000252854
Baseline-Baseline,40,25,0.008383791995584033
Baseline-Baseline,41,22,0.007832707997295074
Baseline-Baseline,42,29,0.009876083997369278
Baseline-Baseline,43,17,0.007154999999329448
Baseline-Baseline,44,24,0.006928874994628131
Baseline-Baseline,45,37,0.010577165994618554
Baseline-Baseline,46,25,0.008215374997234903
Baseline-Baseline,47,29,0.010553332998824771
Baseline-Baseline,48,24,0.007413209001242649
Baseline-Baseline,49,19,0.006824874995800201
Baseline-Baseline,50,28,0.01016154199896846
Baseline-Baseline,51,24,0.010907750001933891
Baseline-Baseline,52,17,0.006314041995210573
Baseline-Baseline,53,25,0.0056252079957630485
Baseline-Baseline,54,25,0.01047649999964051
Baseline-Baseline,55,33,0.010188000000198372
Baseline-Baseline,56,37,0.00969454200094333
Baseline-Baseline,57,20,0.006891375000122935
Baseline-Baseline,58,24,0.005816542005049996
Baseline-Baseline,59,21,0.006945458000700455
Baseline-Baseline,60,28,0.006568750002770685
Baseline-Baseline,61,40,0.010404000000562519
Baseline-Baseline,62,40,0.008572500002628658
Baseline-Baseline,63,26,0.008691584000189323
Baseline-Baseline,64,12,0.004919541999697685
Baseline-Baseline,65,8,0.0029425000029732473
Baseline-Baseline,66,24,0.007429750003211666
Baseline-Baseline,67,22,0.006960583996260539
Baseline-Baseline,68,20,0.008893833997717593
Baseline-Baseline,69,38,0.009051208005985245
Baseline-Baseline,70,21,0.0073591249965829775
Baseline-Baseline,71,25,0.007346917001996189
Baseline-Baseline,72,36,0.0121841670043068
Baseline-Baseline,73,24,0.008947999995143618
